,tradeDate,closeIndex,turnoverValue
0,2005-01-04,982.79,4431977418.0
1,2005-01-05,992.56,4529208214.0
2,2005-01-06,983.17,3921015420.0
3,2005-01-07,983.96,4737469399.0
4,2005-01-10,993.88,3762932890.0
5,2005-01-11,997.14,3704076709.0
6,2005-01-12,996.75,3093299668.0
7,2005-01-13,996.88,3842173302.0
8,2005-01-14,988.31,4162921211.0
9,2005-01-17,967.45,4249807837.0
10,2005-01-18,974.69,4117944082.0
11,2005-01-19,967.21,3427951271.0
12,2005-01-20,956.25,4399350604.0
13,2005-01-21,982.6,8152086067.0
14,2005-01-24,998.13,8360161498.0
15,2005-01-25,997.78,6157022374.0
16,2005-01-26,989.93,4719440425.0
17,2005-01-27,974.63,4094398877.0
18,2005-01-28,969.21,3280950331.0
19,2005-01-31,954.88,3863573594.0
20,2005-02-01,955.95,4275706846.0
21,2005-02-02,1006.91,10202904264.0
22,2005-02-03,993.22,10057310335.0
23,2005-02-04,1016.86,9549870633.0
24,2005-02-16,1023.58,7438168198.0
25,2005-02-17,1020.61,5513063259.0
26,2005-02-18,1006.06,4817732089.0
27,2005-02-21,1025.63,6052394872.0
28,2005-02-22,1046.74,10922776830.0
29,2005-02-23,1043.94,11231940742.0
30,2005-02-24,1045.46,8993752186.0
31,2005-02-25,1046.76,11489961151.0
32,2005-02-28,1039.99,8190101348.0
33,2005-03-01,1035.93,6288790666.0
34,2005-03-02,1021.32,8971307887.0
35,2005-03-03,1027.71,5582811955.0
36,2005-03-04,1023.67,5383868109.0
37,2005-03-07,1029.87,5316473234.0
38,2005-03-08,1048.99,9851274640.0
39,2005-03-09,1046.54,9877624291.0
40,2005-03-10,1022.41,8380547671.0
41,2005-03-11,1027.43,7654557046.0
42,2005-03-14,1031.03,10229428920.0
43,2005-03-15,1013.52,8091209214.0
44,2005-03-16,1003.07,7153745871.0
45,2005-03-17,992.86,6535061285.0
46,2005-03-18,978.67,6314991217.0
47,2005-03-21,981.89,4594519993.0
48,2005-03-22,964.02,6955307694.0
49,2005-03-23,959.01,7092055433.0
50,2005-03-24,964.8,6446642565.0
51,2005-03-25,962.96,4258127223.0
52,2005-03-28,960.7,4141656397.0
53,2005-03-29,955.19,4842151125.0
54,2005-03-30,937.03,5459378777.0
55,2005-03-31,942.2,4555322825.0
56,2005-04-01,978.15,10109402829.0
57,2005-04-04,962.17,7296500041.0
58,2005-04-05,955.6,6069513997.0
59,2005-04-06,973.67,9727656052.0
60,2005-04-07,984.73,13260560596.0
61,2005-04-08,1003.45,9151349808.0
62,2005-04-11,995.42,10436232248.0
63,2005-04-12,978.7,6479563495.0
64,2005-04-13,1000.9,10029602129.0
65,2005-04-14,986.98,7813424514.0
66,2005-04-15,974.08,6541675456.0
67,2005-04-18,963.77,5329138712.0
68,2005-04-19,965.89,5768907755.0
69,2005-04-20,950.87,5300003714.0
70,2005-04-21,943.98,6140646108.0
71,2005-04-22,939.1,6373550345.0
72,2005-04-25,930.07,6667303132.0
73,2005-04-26,937.08,7029373085.0
74,2005-04-27,926.6,6432845906.0
75,2005-04-28,942.07,8315813742.0
76,2005-04-29,932.4,6853192443.0
77,2005-05-09,909.17,4889696446.0
78,2005-05-10,913.08,5960910722.0
79,2005-05-11,901.85,5128333208.0
80,2005-05-12,885.82,6107327165.0
81,2005-05-13,887.54,6228419643.0
82,2005-05-16,875.27,4630088469.0
83,2005-05-17,881.46,4635198616.0
84,2005-05-18,883.2,4615409280.0
85,2005-05-19,884.17,4263472583.0
86,2005-05-20,882.76,3835476288.0
87,2005-05-23,863.34,3725791093.0
88,2005-05-24,868.46,4777971875.0
89,2005-05-25,868.45,3742173189.0
90,2005-05-26,857.33,3470051082.0
91,2005-05-27,849.51,4240678764.0
92,2005-05-30,855.61,3712116331.0
93,2005-05-31,855.95,3601006687.0
94,2005-06-01,837.53,4274074912.0
95,2005-06-02,818.38,5220786229.0
96,2005-06-03,818.03,4164754479.0
97,2005-06-06,839.0,4685006534.0
98,2005-06-07,837.28,7248577634.0
99,2005-06-08,905.77,17414544247.0
100,2005-06-09,912.6,17782386004.0
101,2005-06-10,894.56,12006754528.0
102,2005-06-13,892.96,7944060172.0
103,2005-06-14,883.54,7692070462.0
104,2005-06-15,866.83,6272310250.0
105,2005-06-16,879.24,6115269193.0
106,2005-06-17,880.35,8285455982.0
107,2005-06-20,906.26,10290889580.0
108,2005-06-21,896.17,6890936652.0
109,2005-06-22,900.65,5882401451.0
110,2005-06-23,893.57,5465028353.0
111,2005-06-24,898.3,4732186046.0
112,2005-06-27,916.04,8903493734.0
113,2005-06-28,903.72,5536098456.0
114,2005-06-29,898.9,5751998008.0
115,2005-06-30,878.69,5597946269.0
116,2005-07-01,859.49,5086726820.0
117,2005-07-04,855.93,4026099534.0
118,2005-07-05,849.68,4529674417.0
119,2005-07-06,842.56,3627265630.0
120,2005-07-07,844.73,2901826588.0
